"","datetime","thermo.depth"
"487",2021-05-26,3.33325802867079
"488",2021-05-28,3.63232310155217
"489",2021-05-31,3.02912449261332
"490",2021-06-02,2.21816511122626
"491",2021-06-04,3.50497604691987
"492",2021-06-07,3.07890790668903
"493",2021-06-10,1.82517949403984
"494",2021-06-11,2.79202696794007
"495",2021-06-15,1.28663086989649
"496",2021-06-18,3.72066406256338
"497",2021-06-21,1.3995460520311
"498",2021-06-28,1.78810485173691
"499",2021-07-07,1.75999223161497
"500",2021-07-12,3.04168687220643
"501",2021-07-21,3.12092669605783
"502",2021-07-26,2.20556770256659
"503",2021-08-02,2.85640088396883
"504",2021-08-09,5.76373792863647
"505",2021-08-16,5.75
"506",2021-08-20,NA
"507",2021-08-23,4.75
"508",2021-08-31,5.75386539003098
"509",2021-09-06,5.75418433537716
"510",2021-09-14,5.75820122985756
"511",2021-09-21,5.75706629372145
"512",2021-09-27,5.7648368447417
"513",2021-10-04,5.75744137180452
"514",2021-10-11,5.76768217298998
"515",2021-10-18,5.75577667258043
"516",2021-10-25,5.75224074111271
"517",2021-10-26,2.75
"518",2021-11-03,NA
"519",2021-11-08,NA
"520",2021-11-22,NA
"521",2021-12-06,0.797597646839957
"522",2021-12-14,NA
